NAME,SHAPE_Leng,SHAPE_Area,Area_calc,lat,lon
COPPERMANA DAM,0.0559790915754,1.856710375e-05,198558.026,-30.015744468196143,144.19344368592078
OLD DAM,0.0352233956949,9.765298975e-05,1043742.36,-30.07057296470008,145.80523457737522
LAKE PERSEVERANCE,0.246018381068,0.000199165828,2184647.38,-27.299358506745968,152.12348477110987
WEST BARWON RESERVOIR,0.244166408002,0.000176127123375,1704409.1,-38.54689340610333,143.71610327120155
WURDIBOLUC RESERVOIR,0.100301828006,0.000568090765125,5517113.26,-38.285312719941196,144.03994594849107
WEST GELLIBRAND DAM,0.0591347087602,2.3732167e-05,229483.175,-38.603083902269844,143.65220832934452
ORANGE CREEK WEIR,0.0787963757434,2.607556525e-05,291125.081,-25.199897115361654,150.19836095755932
DEVILBEND RESERVOIR,0.139293506045,0.000239801036374,2328737.88,-38.28948791127116,145.10462439403017
SOUTH YALUP LOWER DAM,0.0192673368278,1.62917225e-05,169024.612,-32.90878700197605,115.9148806467626
LAKE MOYANUP,0.0458820875871,4.2732045e-05,443592.572,-32.857273951910976,115.95289527610848
HARVEY DAM,0.336284073037,0.0004352950125,4507544.61,-33.08000764950713,115.95595474855806
MARY ANN DAM,0.0340435300232,1.1879363375e-05,137950.19,-19.6106294404693,134.21180663705888
SCABBY GULLY DAM,0.025574111197,2.4406542125e-05,249296.717,-34.27934429052103,116.04563993991076
BISHOP DAM,0.0399387914157,3.2918260625e-05,382637.902,-19.449989130783884,134.11874490922264
HELENA RIVER RESERVOIR,0.452441240945,0.000669908096125,7020283.85,-31.987218889858596,116.21356591630651
THIRTY FOUR MILE BROOK,0.0114097014676,5.6072875e-06,58251.2157,-32.790107936334046,116.36621124883344
LILLY DAM,0.0195715750029,8.612898375e-06,100799.877,-18.279224666158854,128.87393597824868
SHANNON DAM,0.0127206430174,5.6400675e-06,57407.1273,-34.579055611725046,116.41204949429326
QUICKUP DAM,0.0414999435959,5.1329525375e-05,520473.695,-34.898760253618356,117.38509817828202
SOUTH YALUP UPPER DAM,0.022661590666,2.6110765e-05,270895.108,-32.909071322177596,115.92260974271242
SERPENTINE PIPEHEAD DAM,0.116498461172,6.1537984125e-05,642109.317,-32.38759190857212,116.07461627935021
MAMINE SWAMP DAM,0.0196725553985,1.96474e-05,202879.801,-33.331282331546866,116.77509397275635
KATANNING RESERVOIR,0.00994213908785,6.1729e-06,63487.9671,-33.68267451538175,117.58556841214559
LAKE BROCKMAN,0.0819699054413,0.00015744049,1631814.03,-32.99773835937642,115.97434901228895
COWAN DAM,0.0390837676618,4.302396525e-05,441557.301,-33.868732829363275,116.036743548644
LAKE NAVARINO,0.106026742469,0.000149656209125,1553718.15,-32.84749357131308,115.99507055891745
LAKE KABBAMUP,0.0951225450784,9.2342460125e-05,958326.495,-32.88194828507392,116.03069856758084
LAKE CONDAH,0.10120571539,0.00016288123875,1586618.07,-38.06224918602935,141.83272175319567
GLEN MERVYN DAM,0.0483761701836,3.833177075e-05,395069.077,-33.498171468429035,116.1003287011949
Nardellos Lagoon,0.0290588222772,4.642479e-05,546764.916,-17.118073823960078,145.418525603282
POONA DAM,0.0178219747361,1.2985914125e-05,143315.214,-26.59582908520418,152.9101488979809
CEDAR POCKET DAM,0.0497305211301,1.7648627125e-05,195403.725,-26.215089195419363,152.7937369279075
KARRI LAKE,0.0257323125165,1.7314334e-05,176532.989,-34.434711292640536,116.25762581345084
MOOCHALABRA DAM,0.0424709898579,2.40205305e-05,285030.419,-15.617404448957656,128.10612634050221
VICTORIA RESERVOIR,0.0657169642257,6.7743258375e-05,709471.122,-32.04539454483597,116.07341574082814
WUNGONG RESERVOIR,0.175979440196,0.000276119579875,2886480.18,-32.21624482943158,116.07678193717643
LAKE ARGYLE,7.38292136401,0.0849480343146,1004587240.0,-16.314509273884656,128.7628973360581
GAP DAM,0.0570844363102,5.7928335e-05,683756.251,-16.691158013102832,128.38448283787187
NORTH DANDALUP DAM,0.162459153956,0.000310317903,3233461.29,-32.515591128738855,116.02839403148062
SEVENTEEN MILE DAM,0.323301068297,0.00041335211025,4843512.98,-18.06103509446598,124.34311834415044
LAKE BANKSIADALE,0.539852360056,0.000838903410376,8726812.77,-32.66645906075101,116.08602357055032
CANNING RESERVOIR,0.310781471534,0.000484679155376,5069236.32,-32.169941842910205,116.14321763896957
SERPENTINE DAM,0.666429664533,0.00116392419425,12140352.3,-32.421355736788094,116.13626726432476
MUNGALUP DAM,0.0205373050174,1.647596425e-05,169991.493,-33.40413167223307,116.09569504468998
LAKE GRAHAM,0.0159320528775,1.5809205e-05,185191.208,-18.11469881063177,125.82391651989255
MILLSTREAM DAM,0.0117752446233,5.37936275e-06,55183.0926,-33.90906006133628,115.94987406584092
CHURCHMAN BROOK DAM,0.0305573392777,2.5293517e-05,264590.956,-32.15325723815287,116.08186910049346
SCOTTS DAM,0.0284159667472,3.11824625e-05,364812.829,-18.340802599562117,127.33284875646936
ORD RIVER,1.14145051555,0.00128234827838,15195256.2,-15.908442783299911,128.73356923651482
STIRLING DAM,0.211504179292,0.000308296463,3191422.63,-33.108990851325885,116.04430823148013
TEN MILE BROOK DAM,0.0397977440608,2.8692760625e-05,294155.753,-33.96305553730064,115.12597631216349
BIG BROOK DAM,0.0358882441035,2.49423e-05,254391.17,-34.406161089568045,116.02364907970262
LAKE BALLINGALL,0.503968319134,0.00090116613175,9317910.45,-33.21231387846318,116.14127952031333
FITZROY RIVER,0.176038936459,0.000107107345126,1253925.8,-18.21864137521257,124.48781048148882
WELLINGTON DAM,0.766038023636,0.00142017255,14656040.3,-33.383833489400374,116.00946948764667
DENMARK DAM,0.0495864793039,2.4681098375e-05,250241.011,-34.90604095602059,117.34781479985631
LAKE CALLIDE,0.327345684584,0.000933571757375,10492599.3,-24.355382229809084,150.64193249037447
LAKE ROSS,0.913108197802,0.00466016944025,54167952.9,-19.453869700761928,146.78253234950913
LAKE PROSERPINE,1.31948111657,0.00346319188338,40027073.1,-20.37275776155558,148.3400225204887
KOOMBOOLOOMBA DAM,1.40980649858,0.00123605853475,14500792.1,-17.847150358514522,145.6300512490779
LAKE TINAROO,2.12858551559,0.00298746573862,35170856.2,-17.192912907133902,145.58263722073633
LAKE MORRIS,0.485962672431,0.000252128664125,2971441.6,-16.988423599520683,145.6820966336414
