NAME,gauge_ID,Polygon_Area,staion_nam,lat,lon
LAKE MULWALA,sp-o10814,36692860,Yarrawonga Weir,-36.00046029,146.0715797
LAKE MURCHISON,657.1,4374888.46,MURCHISON LAKE - AT DAM,-41.83344096,145.6919112
LAKE NEWTON,296.1,504891.061,NEWTON LAKE - AT DAM,-41.91462491,145.5608164
LAKE NILLAHCOOTIE,sp-o10930,5156878.86,Lake Nillahcootie,-36.88446999,146.0025061
LAKE PALOONA,627.1,1710569.32,PALOONA LAKE - AT DAM,-41.30815105,146.2493013
LAKE PARANGANA,594.1,1069011.5,PARANGANA LAKE - AT DAM,-41.65000589,146.227656
LAKE PIEMAN,742.1,22250470.1,PIEMAN LAKE [AT DAM],-41.76331668,145.2894813
LAKE PINDARI,416030,8482350.39,PINDARI DAM,-29.38504899,151.2705889
LAKE PLIMSOLL,294.1,3063062.95,PLIMSOLL LAKE - AT INTAKE,-41.88767492,145.6153398
LAKE POONGKALIYARRA,ODSS_57389_WSLAHD.1,15244621,Harding WSL - GIS logger at Damsite,-21.01243197,117.1160227
LAKE ROSEBERY,658.1,7470294.87,ROSEBERY LAKE [AT DAM],-41.73646827,145.5885375
LAKE ROWALLAN,562.1,8837379.7,ROWALLAN LAKE - AT DAM,-41.77538389,146.211335
LAKE SAMSONVALE,142801A,21206404.4,North Pine,-27.26250239,152.8945089
LAKE SOMERSET,143305A,41140027.1,Somerset,-27.02797112,152.5813206
LAKE ST CLAIR,210117,14820888,GLENNIES CREEK DAM,-32.33974638,151.2785171
LAKE TAYLOR,TAYLORS,4853573.62,Taylors Lake,-36.7834369,142.3836144
LAKE TINAROO,110014A,35170856.2,Tinaroo Falls Dam,-17.19291291,145.5826372
LAKE TREVALLYN,158.1,1311309.56,TREVALLYN LAKE - AT DAM,-41.4569181,147.0720423
LAKE TUGGERANONG,410784,602562.261,Lake Tuggeranong Dam,-35.40866536,149.068943
LAKE WILLIAM HOVELL,sp-o11590,1089917.22,Lake William Hovell,-36.92444869,146.3902766
LAKE WINDAMERE,421148,20403750.2,WINDAMERE DAM,-32.77721153,149.8126272
LAKE WIVENHOE,143036A,109522671,Wivenhoe,-27.28750557,152.5504857
LAKE WYANGALA,412010,38125208.3,WYANGALA STORAGE,-33.96150121,149.0019414
LAURISTON RESERVOIR,LAURISTON,2074410.31,Lauriston Reservoir,-37.26287883,144.3862708
LOSTOCK DAM,210102,2174199.05,LOSTOCK DAM,-32.33294042,151.442404
MALMSBURY RESERVOIR,MALMSBURY,2992043.64,Malmsbury Reservoir,-37.21306225,144.3712341
MARDI DAM,DAM_MARDI.1,653681.678,DAM-MARDI.Dam_WaterStorage_ML_BOM2012,-33.29677411,151.3903452
